spokesperson,question,answer
Karoline Leavitt,Thank you.,And you are one of those individuals who has a streaming platform that hundreds of thousands of people tune into every day.
Karoline Leavitt,Thank you.,"So, it's great to see you in the briefing room.I did address that, actually, in my opening remarks by announcing that the White House press team and this administration will determine who gets to enjoy the very privileged and limited access in spaces such as Air Force One and the Oval Office.There are, as you know -- look at this room -- hundreds of journalists who show up to this building every single day and are not granted that luxury of flying on Air Force One and asking the president of the United States questions. And so, we want to ensure, again, everyone has a seat at that highly coveted table.But, alas, the legacy media outlets who have been doing this for quite some time and have invested resources into covering the White House, their spots will remain, just like they have in this briefing room as well."
Karoline Leavitt,Thank you.,Sure.Steve.
Karoline Leavitt,Could you give us an update on the negotiations around the Ukraine minerals deal? And -- and when is President Zelenskyy going to v- -- come visit?,"So, the president talked at length about this yesterday, the critical minerals deal, with President Macron --"
Karoline Leavitt,Yes.,"-- and in the more than hour-long press conference he gave all of you in the Oval Office himself.There hasn't been significant updates since the president's remarks last night, but I will just reiterate his position. It's critical that this deal is signed. He expects President Zelenskyy to sign a deal. This is to recoup American tax dollars that have been funding Ukraine's national defense. And it's also great for the Ukrainian people, who have been put through hell because of this war. And it will create a lasting economic partnership, as Ukraine will need to rebuild their country because of this brutal war."
Karoline Leavitt,And then just to follow. Has Steve Witkoff delayed his trip to the Middle East so he can concentrate on this minerals deal?,"I don't want to comment on Mr. Witkoff's travel plans or read anything out, just for obvious reasons.But he, you know, remains very much working. That man is working around the clock to secure this deal with Russia and Ukraine, alongside Secretary Rubio and Secretary Bessent, General Keith Kellogg.He's also working very hard to secure a peace deal in the Middle East as well. So, God bless him. And he's working alongside the president every single day.Sure."
Karoline Leavitt,"Thanks, Karoline. The president's executive order creating DOGE called for the naming of a DOGE administrator.",Mm-hmm.
Karoline Leavitt,Who is the DOGE administrator?,"So, the president tasked Elon Musk to oversee the DOGE effort. There are career officials and there are political appointees who are helping run DOGE on a day-to-day basis. There are also individuals who have onboarded as political appointees at every agency across the board to work alongside President Trump's Cabinet to find and identify waste, fraud, and abuse, and they are working on that effort every day.Reagan."
Karoline Leavitt,Thank you.,Reagan.
Karoline Leavitt,"Thanks, Karoline. I have two for you today, one on the border wall and one on the DHS investigation.",Sure.
Karoline Leavitt,"First, on the border wall. Border wall construction has restarted in Texas and California under contracts awarded under Trump's first term. Is the president looking to secure new contracts? And how is he defining success in terms of border wall construction in this administration?","The border wall is a signature promise of President Trump's campaign. He talked about it way back in 2015 and 2016, and people laughed at him for bringing up this idea. It's proven to be not only an idea that he delivered on in his first term and continues to deliver on in his second term, but it's also proven to be highly effective.In fact, we know where there were parts of President Trump's border wall built and standing under the previous administration, illegal border crossings dropped 87 percent where there was a border wall. So, the wall is an incredible deterrent factor for illegal migrant caravans.The president is committed to the continuation of the construction of the wall.And, you know, the previous administration actually sold off the resources that the Trump administration secured to build the wall, and that's an egregious misuse of the American taxpayers' money. They just let those resources rot on the southern border. They actually sold them for pennies on the dollar.So, this administration, DHS and ICE and Customs and Border Patrol and Tom Homan and all of the great people you know who are working on this effort are committed to continuing the construction of President Trump's border wall."
Karoline Leavitt,On the DHS investigation into people who might be leaking within the administration. Will the White House release the names of the individuals that DHS Secretary Noem said were caught leaking details of the ICE raid? And can you share how many leakers have been caught so far and what agency they were a part of?,"I would defer you to DHS on the leakers that they have identified, but I know the president and this White House commend Secretary Noem for launching an internal investigation to identify those leakers, because it's unacceptable for career bureaucrats who are standing in the way of the will of the American people in enacting President Trump's agenda.If they don't want to adhere to the will of the 77 million Americans who reelected President Trump, then they should go find another job. And if they continue to leak information, especially information that is critical to protecting Border Patrol agents and ICE agents who are out there doing jobs that not many people are willing to do, putting their lives on the line to protect our national security, then those individuals absolutely should be fired, and this administration is committed to finding them."
Karoline Leavitt,Karoline.,Sure.
Karoline Leavitt,"Karoline, two questions for you, one related to Guantanamo Bay, the other to the White House Correspondents' Dinner. I wanted to get your response to some Washington Post reporting of the migrants who stayed over at Guantanamo Bay for the last two weeks. They told the Post they were rarely let outside. They were shackled and placed in what they described as cages, and alleged that they were not treated as human beings. Does the White House have any response to those conditions?",At Guantanamo Bay?
Karoline Leavitt,Mm-hmm.,"It's a promise the president campaigned on, that if you invade our nation's borders, if you break our country's laws, and if then you further commit heinous, brutal crimes in the interior of our country, like raping and murdering innocent law-abiding women and girls and committing heinous acts of violence, then you are going to be deported from this country, and you may be held at Guantanamo Bay. These are criminals we are talking about. Don't forget that."
Karoline Leavitt,On the --,Sure.
Karoline Leavitt,"Yeah. Thank you. So, U.S. consumer confidence fell this month the most since August of 2021. What is your message for Americans who are concerned about the impact of things, such as tariffs, on prices?","Yeah, sure. Well, thank you for that question. It's obviously an important one.The president campaigned on reigniting the Trump economy and fixing the mess that was created by the previous administration. We know they created an economic and an inflation nightmare for the American people, and I'm not going to stand up here and lie to you like my predecessor did about the state of our economy.We understand there are people that are hurting, and this administration is wholeheartedly committed to ensuring that those individuals see relief and price reductions and tax cuts and in less regulations that are burdensome on their household and their businesses. And the president and this entire administration are focused on that every day.I can go through the very long list of economic actions this president has taken. I know you work for Bloomberg, so I'm sure you're well aware of them. But I can assure the American people that the president is very much focused on bringing down the cost-of-living crisis in this country that was created by the previous administration."
Karoline Leavitt,Thanks. If I could just ask a quick follow-up --,Sure.
Karoline Leavitt,"Is the president planning on whipping any votes to -- for support for the House budget vote? And if so, to whom is he making calls?","I'm not aware of any calls that he has made. I did talk to the president about his position on this just before coming down here, and he said that he's made it very clear to the Hill what his priorities for a budget are. He said it to the Speaker of the House. He said it to Leader Thune. The Senate and the House know what President Trump want and know what the American people want, and so he expects Congress to get it done.He's looking at the proposal from the House. He will also be looking at the proposal that, I believe, the Senate is drafting up as well."
Karoline Leavitt,Karoline.,Sure.
Karoline Leavitt,"Thank you. Thank you, Karoline. I have a few questions. Does the United States -- I'm sorry. Let me look at my notes.","Well, why don't you identify your question, and I'll come back to you."
Karoline Leavitt,"Karoline, can I follow up on the budget question?",Sure. Go ahead.
Karoline Leavitt,"Thank you. So, what guarantee that Israel will withdraw from Lebanon soil after two weeks as the ceasefire terms was -- like, indicates?","I'm not sure about the guarantee that you're referring to.I can tell you that this administration remains very much engaged. We know the deadline for the phase one ceasefire is imminent. So, Steve Witkoff, whom I mentioned earlier, and the president's administration and his team and the president himself remain very much engaged.We want to see the ceasefire continue. And the president has made it very clear he wants to see all of the hostages who have been held in captivity in Gaza returned home.Jeff."
Karoline Leavitt,"Karoline, I was wondering if -- is Elon Musk going to attend the president's first Cabinet meeting tomorrow?","He is, as a matter of fact. I spoke to the president about that before coming down here as well. And Elon, considering he is working alongside the president and our Cabinet secretaries, this entire administration will be in attendance tomorrow just to talk about DOGE's efforts and how all of the Cabinet secretaries are identifying waste, fraud, and abuse at their respective agencies.We look forward to the meeting tomorrow, and I think you'll be hearing from the president and his Cabinet when they're on campus tomorrow. I hope you guys are excited."
Karoline Leavitt,Since some of those Cabinet members were caught off guard by the email from Saturday --,Nobody was caught off guard.
Karoline Leavitt,"A few departments said they were caught off guard. The FBI was, the DOJ was, the Department of Defense was.",Did anonymous sources say that or did the Cabinet secretaries say that?
Karoline Leavitt,The Cabinet secretaries and others have said that they were not aware that this was happening.,"I would reject the premise of your question, Jeff. The Cabinet secretaries have not said that. I know anonymous sources, probably career bureaucrats, have leaked that to many of you in this room.But as I said at the beginning of this press conference, everybody is working as one team, and the president respects the decisions of his Cabinet secretaries to tell their staff not to respond to that email because they did so out of interests of national security and they don't want to, obviously, risk confidential information. It's pretty common sense.Dasha."
Karoline Leavitt,"Musk has obviously been doing a lot of work. He's been working every day and, a lot of the time, weekends. He is designated as a special government employee, which means that he can only work 130 days per year. Is the White House expecting him to limit his work to 130 days, or are you going to work around those rules? Do you want to see him extend beyond the 130 days?","So, today is February 25th, so I think we've been here about 35 days, roughly, so ask me in another 100 days.Daniel."
Karoline Leavitt,"Karoline, thank you. You opened up with a major announcement from Apple: $500 billion, 20,000 jobs, doubling its advanced manufacturing fund.",Yeah.
Karoline Leavitt,What does that signal that such a global brand would make what it called its largest-ever spend commitment just a month into President Trump's second term? What does that signal about his economic vision for the country?,"President Trump is a dealmaker, and he has restored confidence in business leaders around this entire world. Apple is one of the largest companies on the face of the planet. They employ hundreds of thousands of Americans, but the president wants to see more Americans employed, more investments here in the United States of America.And this is another fulfillment of the president's campaign promises. I recall President Trump at his rallies on the campaign telling the world that: If and when I am elected, America is going to be back, and we want your investments to be driven on shore. We want you to hire American workers, and you will have the lowest regulatory burden, the lowest tax cuts.And the president has already proven he's committed to slashing regulation. He's counting on Congress to implement those tax cuts.And so, people are encouraged by the president's -- again, as Tim Cook called it, they're bullish about American innovation because of the leadership of this president.And that's a stark contrast to the leadership of the previous administration, Joe Biden, who I don't think spent any time trying to recruit any investments or jobs here at home.Mary."
Karoline Leavitt,"Thanks, Karoline. We're hearing from some Republicans who are voicing concerns about how these cuts are being carried out. Congressman McCormick, a Republican from Georgia, tells us he's worried it's too rapid for real people to adapt to, and he says he's concerned that it could come off as discompassionate, in her -- in his words, that it could risk undercutting the strong message that he feels you're trying to send about the need to cut government waste.","Well, I think that that was one comment from one senator, and I think, as I cited in my opening remarks in the poll, the most important people are the American people, and 77 percent of Americans at home support a full investigation into the waste, fraud, and abuse that the federal government has been spending their tax dollars on. So, that's the people the president cares about most, and that's why we're fulfilling this pledge.And again, it should come as no secret to anybody. The president campaigned on doing this."
Karoline Leavitt,"I just want -- the president yesterday said if you don't respond to this email, you will be fired or semi-fired. What does it -- what does he mean by that?","Again, I've been asked and answered this question three times now. It is --"
Karoline Leavitt,"But semi-fired, what --",But it's --
Karoline Leavitt,-- does that mean?,"But it's in the memo. The president, again, has entrusted his Cabinet secretaries to oversee their workforce. That's why he nominated them to be Cabinet secretaries. And so, federal workers can be directed to their agency leadership."
Karoline Leavitt,Karoline.,Sure.
Karoline Leavitt,"Great. Thanks, Karoline. I wanted to ask about -- a federal judge yesterday was saying that they didn't know who the DOGE administrator was and was asking the -- the lawyer for the administration who it was, and the lawyer responded, I don't know the answer to that. Can you tell us who the administrator of DOGE is?","Again, I've been asked and answered this question. Elon Musk is overseeing DOGE. There are career offi- --"
Karoline Leavitt,"So, he's the administrator?","There are -- no. Elon Musk is a special government employee, which I've also been asked and have answered that question as well."
Karoline Leavitt,"So, who is the administrator?",There are career officials at DOGE. There are political appointees at DOGE. I am not going to reveal the name of that individual from this podium. I am happy to follow up and provide that to you.But we've been incredibly transparent about the way that DOGE is working.
Karoline Leavitt,And if I could just ask about the --,Jon.(Cross-talk.)
Karoline Leavitt,"Thanks, Karoline.",Jon.
Karoline Leavitt,"Thanks a lot, Karoline. Since your last briefing, there have been some personnel moves that have been announced by the president, and I wanted to ask you about them. One was the president replacing the Chairman of the Joint Chiefs of Staff, General CQ Brown, Jr. What was the reason for the president naming a replacement for General Brown?","He thinks he's doing a bad job, and it's time for a shake-up at the Pentagon. They failed seven audits in a row. The trust in our United States military, amongst the war fighters, is low. The president is shaking up the Pentagon and the Department of Defense, of course with Secretary Hegseth leading. And he has the right to do that. It's actually quite common from administration to administration to do such a thing."
Karoline Leavitt,"The president, when he swore him in as the chief of staff for the Air Force, called him a great man and a great gentleman. Does he distance himself from the remarks that he made back in August of 2020?",I think replacing him speaks for itself.
Karoline Leavitt,And then on --,James.
Karoline Leavitt,"One other one, if -- I'm sor- -- thank you. On the FBI, the president also announced a new deputy director of the FBI, Dan Bongino. From what has been reported, and maybe this is not accurate reporting -- you can tell me -- the FBI director, Kash Patel, informed Republican senators that it would be an individual named as the deputy who was a special agent currently at the FBI. And, of course, Mr. Bongino is not. What was the reason for naming Mr. Bongino to this position? And was Mr. Patel not correct in making that assurance to those senators?","I'm not sure if anybody in this room has listened to Mr. Bongino when he talks about the past corruption at the FBI, when he talks about his experience serving the United States Secret Service. This is a man who loves his country and who has honorably served our country in ways that many people have not. He understands the depth of the corruption at these institutions, which the American people reelected President Trump to shake up.And I think it's quite despicable to see many networks in this room who have had chyrons on their television screens labeling Mr. Bongino as a far-right podcaster. He is not. He is a former law enforcement agent. He is a former Secret Service agent who put his life on the line to protect this country. And that is why the president of the United States has entrusted him for this important role.He's also an outsider to this Washington swamp, and we often see that when outsiders are appointed to such coveted positions, a lot of people in this city get very, very nervous. And they should be, because Dan Bongino and Kash Patel and Attorney General Bondi are focused on rooting out the corruption at these agencies and ending the weaponization of government once and for all.I'd like to end with something. As you all know --"
Karoline Leavitt,"Calling on James, as you were just about to do before you called on Jon.","You know what, James. I'm feeling generous. Go ahead. (Laughter.)"
Karoline Leavitt,"Thank you. I will take it. Thank you, Karoline.",Sure.
Karoline Leavitt,I wanted to ask about --,Don't make me regret this. (Laughter.)
Karoline Leavitt,I -- I wanted to ask about the Macron visit and the -- the Russia-Ukraine talks in general.,Sure.
Karoline Leavitt,"It was pretty clear to my eye that President Macron was performing a kind of delicate dance, lavishing praise on the president while seeking in his own remarks to try to bind President Trump to positions and even specific language that the president has not committed to heretofore.","the minerals deal, the abandonment of their NATO ambitions, and other elements. So far, we have not heard any administration officials suggest a single concession that the Russians should be prepared to make.And so, I wonder if you could assure us, at a minimum, that this negotiation process will not be as one-sided as the Europeans seem to think it is and that, in fact, President Putin will also be made to engage in some concessions to reach this deal.MS. LEAVITT: Well, I think the president knows how to make a deal better than anyone who has ever assumed the office of the American presidency. And in order to make a deal, you have to bring both sides to the table. And typically, when you make a good deal, both sides leave that table a little bit unhappy.I'm not going to outline the concessions that the president and his team are engaged in discussing. These are obviously ongoing negotiations, and it would be unwise of me to impede them from this podium.But the president has made significant improvements in ending this conflict. He is committed to seeing an end to the war. He wants to see the bloodshed and the killing stopped. He wants to stop seeing young men being killed and slaughtered. This has been going on for far too long. The president inherited this mess because of the incompetence of the previous administration, and he's committed to fixing it.And he's made, you know, some of those concessions clear, but I'm not going to get ahead of him on additional ones. But he is wholeheartedly committed to striking a peace deal in Russia and Ukraine, also in the Middle East.Thank you very much, guys. Good to see you."
Karoline Leavitt,Thank you.,We'll see you later.
Karoline Leavitt,"All right. Thank you very much. I am sitting in for a thriving ecosystem of journalists, independent and -- and emerging news organizations who do depend on X for publicity, for a business model. And so, I look forward to seeing many of them in this seat in months and years to come.",Sure.
Karoline Leavitt,"For about more than 10 years, I've been fascinated, like all -- like many, with what's going on. I was in Northern Europe working out of the Baltics when Crimea was annexed and was -- a lot -- a lot of this came on Twitter. The platform used to be known as Twitter. Was -- a lot of European leaders would -- would talk about their disappointment and -- and solidarity with Ukraine, but when it came to actually doing something, it felt like they were passing a hot potato and sent it over the Atlantic.",Yeah.
Karoline Leavitt,-- and your confidence in the competence of this administration to d- -- go toe to toe with Vladimir Putin.,"Well, if there's an- -- I'll take the l- -- second question first. If there's anybody in this world that can go toe to toe with Putin, that could go toe to toe with Xi, that could go toe to toe with Kim Jong Un -- and we could keep going down the list -- it's Donald J. Trump. He is the dealmaker in chief. There is no question that he is the commander in chief.And I, for one -- and I think all Americans and around the world should have no doubt about his ability to not only handle Putin but to handle the complexity of driving this war to an end.And then on your first piece on Europe, I'll take you back to 2014. You're right. There was a lot of hand-wringing in Europe and not a lot of action. There was also a lot of hand-wringing here in Washington under the Obama administration and not a lot of action. They literally threw blankets at the problem.And so, I'll remind everyone that Putin had, you know, some type of conflict, invasion, or issue with their neighbor under President Bush, with Georgia; under President Obama, with Ukraine in 2014; not under President Trump, 45; and again with President Biden in 2022. The war should have been deterred. The war should have never happened, and I have no doubt it would not have happened under President Trump and will stop under President -- President Trump again.But I just want to push back on this notion of our European allies not being consulted as we've entered into this process. I already mentioned the immediate phone call President Trump made to President Zelenskyy. He has talked to President Macron of France repeatedly last week. President Macron convened European leaders and then is coming here on Monday. Prime Minister Starmer is coming next Thursday.We've also -- I've talked to every one of my national security -- national security advisor counterparts across -- across the spectrum in Europe. I've talked to Secretary-General Rutte, the -- the leader of NATO, the secretary-general of NATO. We have repeatedly -- oh, by the way, we had half our Cabinet -- seven Cabinet officials, including the vice president, at the Munich Security Conference, all engaging, all listening, and all making sure our allies were heard.However, we've also made it clear for years -- decades, even -- that it is unacceptable that the United States and the United States taxpayer continues to bear the burden not only of the cost of the war in Ukraine but of the defense of -- of Europe. We fully support our NATO Allies. We fully support the Article 5 commitment. But it's time for our European allies to step up.And one of the things that Secretary-General Rutte said on our call was this last couple of weeks have been a real wake-up call. And I asked him, What have you been missing the last couple of years?The fact that we are going to enter into a NATO summit this June with a third of our NATO Allies still not meeting the 2 percent minimum, a commitment they made a decade ago -- literally a decade ago -- with a war on their doorstep -- the largest war that they're all extremely concerned about -- but yet it's Well, somebody else needs to pay. We've got other domestic priorities. It's unacceptable. President Trump has made that clear.And the minimum needs to be met. We need to be at 100 percent in -- this June at the NATO summit. And then let's talk about exceeding it, which what -- is what President Trump has been talking about, with 5 percent of GDP.Europe needs to step up for their own defense as a partner. And we can be friends and allies and have those tough conversations.MS. LEAVITT: Great. Peter."
Karoline Leavitt,"Thank you, Karoline. I have a Ukraine one and a DOGE one. Who can talk DOGE?","Stephen, go ahead."
Karoline Leavitt,"Well, so -- so, Stephen, we're hearing about these DOGE dividend checks that would be 20 percent back to taxpayers, 20 percent to pay down the debt. Sixty percent is left. Who gets that?","Well, the way that it works is when you achieve savings, you can either return it to taxpayers, you can return it to our debtors, or it can be cycled into next year's budget, and then it just lowers the overall baseline for next year. So, in other words, you can just transfer it into the next fiscal window and then lower the overall spending level. And that means that you can achieve a permanent savings that way, and that reduces the deficit."
Karoline Leavitt,And when is it that people might see those checks?,"Well, this is all going to be worked on through the reconciliation process with Congress that's going underway right now, as you've seen. The Senate is moving a bill. The House is moving a bill. The president has great confidence in both chambers to deliver on his priorities.I would just take this opportunity to note that President Trump has made a historic commitment to the working class of this country to fight for a major tax relief and major price relief. And cutting spending, as DOGE is doing, and cutting taxes is the key to delivering on both of those promises. And President Trump is resolutely committed to doing both."
Karoline Leavitt,"Thank you. And on Ukraine. I guess, this is for Mike.",Sure.
