review,sentiment
"I thought the original of this film was quaint and charming as well as having me sitting on the edge of my seat trying to figure it out.Since I had already seen the original, when I saw this on Sci Fi Channel- I don't know if this remake was deliberately made for Sci Fi - I knew what it was within the first few minutes. Since I like Richard Burgi as a character actor, I wanted to see how he would pull it off.The writers/producers etc, modernized the film a bit by trying to explain the plight of the ""aliens"" (They could no longer reproduce their own kind and needed help) using the same pseudo science that has been crammed in our ears in the 90's. Maybe it added a bit of polish to the film, or not.This film. Film? This production takes on a more sinister edge than the original did- The original ended with a confrontation between the young woman and the alien and an understanding of sorts took place, although no resolution of the Alien's problem.I sort of remember that in this remake, the woman became rather hostile towards the Burgi/Alien- I think it could have ended better. But the ending is just the ending, and the yarn is a swell yarn, being of the basic 1958 Science Fiction Pulp Stock. Many great science fiction stories were written in the 50's and some of them even made it to film.This is a swell thing to watch on like a rainy day or something. I rate it highly cos of all the remakes of old 50's Sci Fi, this one came off well. I actually enjoyed this quite a bit.But if anyone really wants to see this story told WELL, I suggest the original 1958 version with Tom Tyron and Gloria Talbott, directed by Gene Fowler Jr.",positive
"Charles Chaplin's 'Shoulder Arms' of 1918 was his longest film to date, though, at just over 45 minutes in length, it was not quite a feature film. With World War One just drawing to a close, many popular entertainers of the time were doing their part to inspire their native troops, and Chaplin was no exception. And so the lovable Tramp went to war! The film begins with the Tramp in training, and the character is hilariously inept at even the simplest military drills, including marching and gun-slinging, much to the disgust of his drill sergeant. The Tramp then finds himself in the trenches, faced with a more formidable foe, though the Germans eventually turn out of be infinitely more incompetent than even he. The uproarious moment when the Tramp declares that he single-handedly captured thirteen German soldiers by ""surrounding them"" had me in stitches.There are plenty of other great moments in this film. Chaplin awaking to find his sleeping barracks underwater and being unable to literally find his own feet is hilarious, as is his ingenious use of a tube from a record player to sleep beneath the surface.However, the most memorable scenes in the film undoubtedly involve Chaplin skulking behind enemy lines disguised as a tree. The reactions of the bumbling German soldiers, unknowingly just metres from a sworn enemy, as they are single-handedly disabled one-by-one are highly amusing, especially when one soldier grapples an axe with the intention of cutting down a tree for firewood.This is a very enjoyable film, and one of the best of Chaplin's pre-1920 efforts. Highly recommended.",positive
"IT IS So Sad. Even though this was shot with film i think it stinks a little bit more than flicks like Blood Lake, There's Nothing Out There & . The music they play in this is the funniest stuff i've ever heard. i like the brother and sister in this movie. They both don't try very hard to sound sarcastic when they're saying stuff like ""My friends are going to be so jealous!"" Hey, whats with the killer only wearing his mask in the beginning? Thats retarded! I practically ignored the second half of this. My favorite part about this movie is the sound effect they use when the killer is using the axe. The same exact sound for every chop!",negative
"This movie is a gay love story disguised as a tale of graffiti and friendship. Not ONE review described this movie as a gay romance film, and that's the weight of the plot. I don't know if this was to trick people that would otherwise be uninterested to sit through it, expecting the film to be as it was marketed... The film is out of touch with graffiti culture, abuses and defames graffiti culture, and the acting is abysmal. Oh yeah, the graffiti sucks too. This movie was a clever way to hide the agenda of portraying young boys getting gay. Just look at the rest of the movies the director's been involved with, all contain the same subject matter. Boring as hell, not what I expected.",negative
"You know those films that have you trapped in the cinema? You're stuck there in the best seat in the house, centre of the row in your own special sweet spot that you swapped three times before you got just the right seat - and after about what feels like 13 hours you are still trapped there, uncomfortable and itchy, thinking ""When the F*** is this film ever going to END???"" (You know the feeling - think of A.I. and The Village).Well, Visitor Q delivers a weird variant of that feeling. I sat there for the first 30 minutes wondering when the thing was going to f***ing start! It is interminable! So ""Arty"" it hurts. This is the first Miike Takashi film I have watched. Apparently he makes films by the dozen and, if they are all pretentious w@nk like this, I suspect it will be the last.I'm not against Pretentious w@nk. David Lynch is up there amongst the top 10 directors for me but Visitor Q is cut-rate, cheap, and nasty pretentious w@nk. As you may have worked out by now - I hated it.",negative
"this film was totally not what i expected. if this film was called something else no one would even notice the difference between the two. its really strange because i cannot see the point . the prequel and sequel lets just say don't make sense, the don't even match . maybe i am naive but ain't a vol 1 & vol 2 meant to match up. carlito was in jail in the 1st one and dies in the original, and in the prequel he lives and don't go jail. the plot was OK , but they should have changed round some actors and some of the story line and the name of the film and it would have been a good film .i really expected it to end like the other one started. if some one has a opinion on this post it please.",negative
"Barbara Streisand directs and stars in this very Jewish story.To have a chance at obtaining an education, Babs enthusiastically disguises herself as a boy which isn't the most difficult thing to do since she already looks like a boy, anyway. At her new school she meets many male classmates who have no trouble at all in believing she's a guy.Don't miss the best of many moments of unintentional humor when Babs' male friend thinks she's a man, but pins 'him' to the ground, sits on top of 'him', and looks affectionately into 'his' eyes.... *snicker*.Mediocre film; splashy story about nothing particularly interesting.",negative
"Rumour has it that around the time that ABBA  the multi-award winning Swedish disco favourites 's star had reached its zenith, the band grew disillusioned with singing in English and yearned to perform in their native tongue. Soon after, problems began to emerge in the onetime-wed locked-watertight partnership and recordings became less and less frequent. The band dissolved, albeit unofficially, in 1982 and pop lost one of its most celebrated artists. Although they have never admitted that there's any truth in those rumours, the fact remains that ABBA would never have been so successful had they only recorded in their native tongue. If you want to appeal to the largest money-making media market in the entire world, then you must cater for English speaking audiences.It's amazing for me how such a small island that's located a stone-throw away from the European continent could have created perhaps the most recognised, although not most widely spoken, language in the world. Everyone speaks a little bit of English; whether it be simply 'hello' or a common swear word - you'll find an English speaker almost everywhere. Pedro Galindo obviously didn't agree, because Trampa Infernal was never subtitled for global consumption until it was released recently on budget DVD. That's a real shame, because it's actually a decent slasher movie that's a lot better than many of its English-speaking genre compatriots.The film launches in the somewhat unfamiliar territory of a pistol duel. Two unidentified characters are shown sneaking around a dilapidated complex searching out one another for the inevitable final showdown. After some suspense and a couple of near misses, one of the pistoleers emerges victoriously. Next we learn that they were only paintball guns and the two competitors are actually youngsters from the local town. Nacho and Mauricio are fiercest rivals and Mauricio is always trying to prove himself to be better than his soft-spoken opponent, but as of yet he hasn't succeeded.Later that night, whilst the victorious gunslinger celebrates his triumph with his girlfriend Alejandra and his buddy Charly, Mauricio enters the bar and says that he has one last challenge for his glorious nemesis. He says that this will be the competition that will prove to the town once and for all who deserves the uttermost respect. Nacho is at first reluctant because Alejandra warns him of the perils of continual competitiveness, but he eventually succumbs to the weight of peer pressure and agrees; much to the distaste of his morally superior partner.They plan to head out to the remote region of Filo de Caballo, because recent press coverage has reported that numerous people have been butchered by what locals believe to be a vicious bear. Mauricio proposes that whoever murders the animal can be regarded as the greatest and he also promises that it will be the last battle that he wages against his adversary.After visiting the armoury to stock up on weapons and ignoring the warnings of the elderly store-keeper, the group set out to the remoteness of the secluded woodland. Hunters become hunted as they learn that the 'bear' is actually a homicidal Vietnam vet who is still unaware that the war has ended and considers all humans as his enemy. What started as a competitive adventure suddenly becomes a battle for survival as they are stalked and slaughtered by the malevolent assassin.I picked up Trampa whilst studying in Madrid from a Mexican student who lived in the dorm room next-door to me. I remember that the copy I watched was faulty and the tape ended about 10 minutes before the final credits rolled, which meant I never got to see the final scenes. Thankfully I came across the budget DVD recently on Amazon and immediately added it to my collection. Gallindo's slasher is a surprisingly good effort that excels from its skillful direction and enthusiastic plot, which attempts to cover areas not usually approached by slasher movies. It is in fact so good that it reminded me on more than one occasion of the Arnold Schwarzenegger classic Predator. This is especially evident in the scenes that show the creepily-masked assassin jogging through the forest and stalking the panic-stricken troupe as they struggle to escape the maniac's playground.Despite Gallindo's obvious awareness of genre platitudes (the bogeyman even uses a claw-fingered glove a la Freddy Kruegar); Trampa also attempts to add something different to the standard template. Whilst the majority of the runtime plays by the concrete rules of the category, the final third heralds a significant step in individuality as the maniac arms himself with a machine gun and entices the hero to his lair for the final showdown. From here on, the film rapidly swaps genres and becomes almost an action film, which depending on your taste will either excite or disappoint you. The last slasher that tried to crossbreed the two styles was that shoddy eighties entry 'The Majorettes', which is not necessarily a good thing.As is the case with many Latin films (especially Spanish flicks by Almodovar and Amenabar), Trampa has a subtle undercurrent of a moral to its story, which is conveyed successfully without being rammed down the viewer's throat. Over indulge in the temptations of competitive masculinity and you may not always be the winner. It's a sugar-coated point, but it's handled delicately enough not to detract from the fun of the feature.Trampa may be cheesy, but it deserves to be seen and recognised as one of the better late slashers. The killer looks great in creepy army fatigues and white Valentine-style mask and the attempts at originality just about work. It may lack the gore that most sincere horror fans enjoy, but it has enough in terms of suspense and creativity to warrant at least one viewing.",positive
"If you don't mind subtitles, you like comedy and truly interesting characters, along with a taste of something different from mainstream American cinema, then take a chance and rent this film.Two contrasting friends, (one very neurotic sweater, the other the strong quiet loner type) working for a jerk butcher in a smaller danish town, decide to strike out on they're own together and open a butcher shop themselves. Not successful at first they incorporate something new to they're recipe and become an instant hit with the village.That being an interesting story in itself, this smartly humorous film is laced with even more, (friendship, romance, crime, death, personal tragedy) that makes this film so funny yet riddled with numerous subtle interests that make it so interestingly funny yet warm and fuzzy.A must mention is the characters created and the actors making them believable. You can have the best script yet if the characters aren't believable it can sink a film and with this, the directing, acting, character believability and story all mesh so well they make this a very entertaining film.So, if your in the mood to stretch a lil, want to see something very good yet done a bit differently, then I suggest you rent this film while I'm on my way out to find more by director writer Anders Thomas Jensen.",positive
"I'm sorry but I can't agree that this was a good movie. Yes, it looked good visually, but it's the story that drives the movie and I must say the story sucked big-time. How in the world did they manage to slip some of those plot-holes past the critics. Better story and I would've gave it a higher vote but I was impossible to do that and still be able to live with myself. I have always been a fan of scary movies, and the previews really had me fooled. All the scary scenes were shown in the previews. And why did the family that got killed stay to haunt the house? Why did the father come back again? WHy did he decide to kill in the first place? Why were the kids the only ones to see the ghosts first? To many questions, not enough answers. If I could've gave it a zero, I would've.",negative
"I am a huge fan of Harald Zwart, and I just knew that I had to see this movie, even though I can't say I'm a soccer fan. But watching this just filled my heart with joy, and I had a great time in the movies watching it.Bjørn Fast Nagell does a tremendous job directing this movie, and even though you notice the main characters are new at acting, they grow with the movie and makes it what it is. Even though it is supposed to be a soccer movie, there is surprisingly little soccer in it. The whole idea is to show the six guys making up the word N O R W A Y on their trip to the World Cup in soccer playing in Germany this year. If you're only gonna see one Norwegian movie this year, this is the one..",positive
